Rolle,Funktion,Rückkopplung (sendend),Rückkopplung (empfangend),Bedürfnisimpuls,Cap-Logik,Systemischer Freiheitsgrad,Selbstbestimmungsgrad,Cap in Domäne,Beteiligt am Verantwortungsgeflecht
Projektleitung,"Leitet Projekte mit vollständiger Wirkung. Gestaltet Ziele, delegiert Verantwortung, strukturiert Toolnutzung und Feedbackprozesse.","Ja – niedrig (hohe Verantwortung, wenig Stimme)",Ja,Ja,Cap_Solo + Cap_Team,"Hoch (gestaltet Ziele, Delegation, Tools)",Mittel (gebunden durch Rolle),"Voll (strategisch, operativ, delegierend)",Ja
Teilprojektleitung,Koordiniert Teilbereiche. Kombiniert operative Umsetzung mit übergreifender Steuerung. Bindeglied zwischen Projektleitung und Fachkräften.,"Ja – mittel (teilverantwortlich, ausgewogen)",Ja,Ja,Cap_Solo + Cap_Team,Mittel-Hoch (gestaltet Umsetzung),Mittel (gebunden durch Umsetzungspflicht),Hoch (koordiniert Umsetzung und Rückmeldungen),Ja
Fachkraft,Führt operative Aufgaben durch. Trägt Cap_Solo. Rückmeldungen erfolgen direkt an Delegationsquelle oder Systemtools.,"Ja – hoch (operative Wirkung, direktes Feedback)",Ja,Ja,Cap_Solo,Mittel (Umsetzungsspielraum),Hoch (freie Wahl innerhalb Wirkung),Mittel (operative Umsetzung),Ja
Externer Berater,"Berät systemisch, hat keine Cap. Wirkt durch Vorschläge, erzeugt Rückkopplung. Kann ethische Impulse oder strukturelle Hinweise geben.","Ja – sehr gering (extrem hohes Cap_Potential, aber keine Verantwortung)",Ja,Optional,"Keine Cap, auditierbare Wirkung","Niedrig (beratend, kein Gestaltungspfad)","Hoch (frei, solange Wirkung legitim bleibt)","Niedrig (beratende Wirkung, kein Zugriff auf Steuerung)",Nein
Core Team (CT),"Phantomstruktur für Systemschutz. Wirkt unsichtbar, strukturell rückgeführt. Kann temporär Wirkung auslösen, wenn Systemanomalien erkannt werden.","Ja – selektiv (phantomisch, systemintern rückführbar)",Ja,Optional,"Phantomstruktur, rückführbare Wirkung","Niedrig (phantomisch, strukturell wirksam)","Sehr niedrig (dient, nicht entscheidet)",Spezifisch (systemischer Zugriff auf Schutz- und Fehlerstruktur),Indirekt
UdU (Unterster der Unteren),Letztinstanzliches Korrektiv. Reagiert auf Systemversagen und unbekannte externe Gefahren. Wirkt außerhalb des Systems mit struktureller Letztverantwortung.,Nein,Ja,Nein,"Cap_Solo (strukturell-invers), Cap_Team (letztinstanzlich)","Sehr niedrig (korrigierend, nicht gestaltend)",Sehr niedrig (gebunden an Letztverantwortung und externe Gefahren),"Ultimativ (systemübergreifend, emergent, unsichtbar)",Ja
UdU-Partner:in,"Privat rückgebundene Resonanzinstanz. Kein Cap. Spiegel und emotionale Rückhalt für UdU. Nicht systemwirksam, aber geschützt.",Nein,Ja,Nein,"Keine Cap, rückgebundene Resonanzrolle",Nicht systemisch verortet,"Hoch (frei im Privaten, trägt im Hintergrund)","Kein Cap, aber persönliche Resonanzkraft",Nein
IT-Systeme (Tools),"Automatisierte Rückmelde- und Prüfstruktur. Sendet und empfängt systemisch, wirkt funktional über Tools. Kein Cap.","Ja – funktional (automatisiert, systemisch rückgeführt)",Ja,Nein,"Keine Cap, funktionale Toolwirkung",Null (deterministisch durch Vorgaben),"Null (keine Autonomie, wirkt funktional)","Systemisch delegiert (funktional, aber nicht entscheidend)",Ja
Umwelt / Natur,"Reagiert auf Systemwirkung mit physikalischer Rückkopplung. Kein Cap, aber sendet unübergehbare Signale (z. B. Klimawandel).","Ja – hoch (reaktive, nicht kontrollierbare Rückkopplung)",Ja,Ja (implizit),"Keine Cap, systemische Rückkopplung durch Natur",Null (reaktiv durch Naturgesetze),Keine (nicht entscheidungsfähig),Nicht systemfähig (reagiert physikalisch),Nein
Beobachter:innen,"Passiv beobachtende Entität. Kein Cap, aber sendet resonante Rückmeldung. Kann ethische, soziale oder emotionale Systemsignale geben.","Ja – sehr hoch (resonant, systemkritisch, ungefiltert)",Ja,Ja,"Keine Cap, aber legitime ethische Feedbackquelle",Sehr hoch (nicht systemgebunden),"Sehr hoch (frei, nicht rückgebunden)","Nicht tragend, aber potenziell reflektierend",Beobachtend
